timestamp,open,high,low,close,volume,volume_quote
1606262400.0,0.1437,0.2,0.1437,0.1657,5208144.17,839275.961987
1606348800.0,0.1657,0.2172,0.15,0.1831,44821189.96,8523191.68797
1606435200.0,0.1826,0.2,0.1419,0.159,26948261.94,4461310.682617
1606521600.0,0.159,0.1745,0.1516,0.1745,9945357.77,1624072.597348
1606608000.0,0.1737,0.1909,0.1701,0.1818,21958145.62,4020218.826872
1606694400.0,0.1807,0.187,0.169,0.1787,9924137.05,1744513.632319
1606780800.0,0.1787,0.191,0.1709,0.1892,9052585.35,1640363.623231
1606867200.0,0.1893,0.1971,0.17,0.1899,11195553.75,2096889.276299
1606953600.0,0.1896,0.208,0.1834,0.2014,9346518.88,1808816.309051
1607040000.0,0.2017,0.222,0.1995,0.2188,18233298.33,3841896.085539
1607126400.0,0.2189,0.2727,0.2131,0.2418,105517353.7,26128709.209394
1607212800.0,0.2415,0.28,0.2334,0.2609,50169224.05,13233223.029258
1607299200.0,0.2612,0.2625,0.2315,0.249,24353633.18,5974367.987074
1607385600.0,0.2484,0.2575,0.2242,0.236,16902875.18,4009227.818188
1607472000.0,0.2363,0.237,0.2052,0.2221,31222855.44,6834950.629644
1607558400.0,0.2213,0.231,0.186,0.217,32398983.55,6605469.892415
1607644800.0,0.217,0.2343,0.2093,0.2173,21142984.87,4686181.098561
1607731200.0,0.2173,0.2179,0.195,0.2042,19305547.82,3944549.999067
1607817600.0,0.2038,0.2655,0.2038,0.2641,76495806.55,18701846.392214
1607904000.0,0.264,0.2754,0.2489,0.255,43712387.37,11395953.122456
1607990400.0,0.255,0.2616,0.2338,0.2486,25421960.41,6243743.762942
1608076800.0,0.2487,0.2549,0.2372,0.2465,15228157.09,3742189.554072
1608163200.0,0.2471,0.2612,0.2344,0.257,26756605.96,6632368.633391
1608249600.0,0.257,0.2964,0.2472,0.2807,52578713.85,14247566.046855
1608336000.0,0.2799,0.3157,0.2659,0.3043,61827005.05,18096138.68608
1608422400.0,0.3038,0.32,0.294,0.2977,39502925.93,12068692.6124
1608508800.0,0.2977,0.3044,0.2745,0.29,21482918.75,6323672.637251
1608595200.0,0.29,0.3118,0.2598,0.2744,31980454.95,9000572.662454
1608681600.0,0.2745,0.2825,0.2562,0.2777,27133649.59,7372502.401376
1608768000.0,0.278,0.2996,0.196,0.2328,56418545.63,14519933.001893
1608854400.0,0.2328,0.2646,0.191,0.2567,103502085.72,23073963.054893
1608940800.0,0.257,0.2724,0.2352,0.2441,41885165.89,10576322.687319
1609027200.0,0.2449,0.2579,0.2317,0.2364,24831698.03,6058458.086477
1609113600.0,0.2365,0.244,0.212,0.2356,41781282.53,9649997.622971
1609200000.0,0.2363,0.2427,0.2282,0.23,23423988.51,5504087.199852
1609286400.0,0.23,0.2364,0.2081,0.2228,28842477.08,6397025.935106
1609372800.0,0.223,0.2276,0.19,0.1954,35792944.86,7417350.605366
1609459200.0,0.1957,0.2075,0.1747,0.2057,60724653.09,11494136.638301
1609545600.0,0.2056,0.2461,0.2054,0.2217,61956913.54,13977808.24403
1609632000.0,0.222,0.2225,0.199,0.2031,31598903.12,6582780.835534
1609718400.0,0.2032,0.2198,0.1875,0.211,57749019.12,11564093.969903
1609804800.0,0.211,0.223,0.18,0.2045,60160618.29,12162977.859482
1609891200.0,0.2046,0.2154,0.1927,0.2048,35599786.43,7236090.87111
1609977600.0,0.2048,0.294,0.198,0.2559,190437240.56,47179763.613462
1610064000.0,0.2557,0.28,0.2358,0.2449,82923196.42,21334072.152797
1610150400.0,0.2449,0.269,0.216,0.231,76703128.07,18257147.562341
1610236800.0,0.231,0.2479,0.2216,0.2389,41841046.84,9762359.473344
1610323200.0,0.2389,0.2555,0.211,0.2333,52288383.99,12414731.937232
1610409600.0,0.2332,0.2333,0.1881,0.2123,56478880.89,11739248.568226
1610496000.0,0.212,0.2289,0.2022,0.2131,41015483.07,8827298.907697
1610582400.0,0.2132,0.2314,0.2032,0.229,99767861.38,21630975.537251
1610668800.0,0.2291,0.2333,0.2191,0.2275,85248615.49,19273986.740355
1610755200.0,0.2275,0.2301,0.2042,0.2136,80272367.01,17400884.744716
1610841600.0,0.2136,0.23,0.2098,0.2171,72612628.0,15964567.373315
1610928000.0,0.2171,0.2339,0.2125,0.2233,68094431.85,15079080.26776
1611014400.0,0.2232,0.242,0.2181,0.2359,69841121.68,15883834.600213
1611100800.0,0.2359,0.259,0.2344,0.2471,109366906.45,26825320.812074
1611187200.0,0.2466,0.2493,0.2181,0.2391,80123847.63,18593968.025766
1611273600.0,0.239,0.2394,0.2075,0.2113,36252989.63,8002988.620766
1611360000.0,0.2118,0.2247,0.1944,0.2162,35542859.69,7482410.105131
1611446400.0,0.216,0.23,0.2082,0.2155,25650646.4,5544874.587168
1611532800.0,0.2155,0.2237,0.2099,0.2134,29359124.97,6362412.540141
1611619200.0,0.2135,0.2287,0.2131,0.2212,34938060.1,7728500.495483
1611705600.0,0.2212,0.2463,0.2193,0.246,85195387.65,19845223.324276
1611792000.0,0.2461,0.2577,0.2207,0.2322,82814162.62,19707267.317444
1611878400.0,0.2322,0.2403,0.226,0.2334,46523457.9,10783681.499
1611964800.0,0.2335,0.2498,0.2275,0.235,84220190.58,19979438.398315
