timestamp,open,high,low,close,volume,volume_quote
1581033600.0,0.1848,0.298,0.1711,0.2503,39070614.9,9026167.679304
1581120000.0,0.2522,0.325,0.2106,0.2201,40012109.89,10455490.930837
1581206400.0,0.2176,0.35,0.2115,0.3266,28577016.53,8391599.145696
1581292800.0,0.3277,0.4582,0.2802,0.443,38414776.21,14822866.810419
1581379200.0,0.4406,0.453,0.3551,0.3781,21017970.09,8369309.308787
1581465600.0,0.3781,0.3842,0.3244,0.349,10268856.7,3549626.75696
1581552000.0,0.3466,0.3992,0.3,0.3232,16972004.53,5875897.359828
1581638400.0,0.3238,0.3493,0.305,0.3288,7411549.04,2380902.635888
1581724800.0,0.328,0.328,0.276,0.2826,5966904.51,1742232.898576
1581811200.0,0.2837,0.3759,0.269,0.2779,17265448.15,5549507.380168
1581897600.0,0.278,0.3229,0.255,0.2863,7717534.42,2236593.712785
1581984000.0,0.2863,0.3458,0.281,0.3209,11114857.21,3487679.167418
1582070400.0,0.3211,0.369,0.3,0.327,9090763.0,3085733.810726
1582156800.0,0.327,0.3383,0.295,0.308,2974638.23,958713.887307
1582243200.0,0.308,0.309,0.2751,0.2991,3200318.83,921445.586075
1582329600.0,0.299,0.309,0.2803,0.2873,1711921.84,500597.275856
1582416000.0,0.2871,0.295,0.279,0.281,1637077.43,468364.828415
1582502400.0,0.281,0.2933,0.2657,0.2894,2542924.98,711441.898627
1582588800.0,0.2871,0.3246,0.2768,0.2933,5956790.75,1816795.260743
1582675200.0,0.2918,0.2937,0.255,0.2598,2481493.11,677606.163151
1582761600.0,0.2598,0.2862,0.2168,0.2528,6093717.73,1502543.510466
1582848000.0,0.2515,0.3113,0.2301,0.2723,6588167.22,1826468.534738
1582934400.0,0.2748,0.3237,0.2556,0.3169,6509168.29,1877996.398114
1583020800.0,0.3169,0.3499,0.2946,0.3159,6506728.24,2099068.184704
1583107200.0,0.3167,0.3475,0.3094,0.3316,3881931.69,1267300.428371
1583193600.0,0.3315,0.34,0.3121,0.3246,3029673.38,986247.012027
1583280000.0,0.3246,0.3268,0.308,0.3081,2328070.69,737198.00931
1583366400.0,0.3081,0.3755,0.3008,0.3671,7254940.64,2477177.047749
1583452800.0,0.368,0.3848,0.3367,0.3416,5439932.15,1958236.36438
1583539200.0,0.3413,0.4037,0.336,0.3804,5545701.08,2073985.184823
1583625600.0,0.3809,0.4733,0.3735,0.4034,7580676.22,3226489.619939
1583712000.0,0.4041,0.5499,0.364,0.4691,19588087.68,9139275.014195
1583798400.0,0.47,0.543,0.4,0.4429,14592215.35,6891341.37367
1583884800.0,0.4427,0.5087,0.415,0.4499,8948550.15,4101210.588219
1583971200.0,0.4499,0.492,0.3768,0.4091,7522585.99,3307812.421399
