timestamp,open,high,low,close,volume,volume_quote
1582761600.0,0.019,0.02129,0.01718,0.0209,27727096.8,549517.24096
1582848000.0,0.02076,0.0235,0.019,0.02028,54270677.7,1175555.239742
1582934400.0,0.02028,0.02089,0.01739,0.0194,30201982.1,575390.974905
1583020800.0,0.0194,0.0216,0.01834,0.01884,14629572.2,279743.560768
1583107200.0,0.01885,0.02099,0.01829,0.01906,14742368.2,285331.879566
1583193600.0,0.019,0.0248,0.01883,0.02432,35293025.0,772626.350114
1583280000.0,0.02432,0.03231,0.02341,0.03092,134384560.6,3768301.390572
1583366400.0,0.03093,0.03333,0.02605,0.02709,81925665.9,2442402.851478
1583452800.0,0.0271,0.03779,0.02605,0.03395,87932228.6,2773488.309522
1583539200.0,0.03395,0.0379,0.03166,0.03439,92548294.1,3227878.032341
1583625600.0,0.0343,0.03846,0.03191,0.03469,88607812.5,3134927.640092
1583712000.0,0.03468,0.0389,0.03198,0.03378,96564487.6,3463995.779649
1583798400.0,0.03378,0.03616,0.02909,0.03017,73155674.1,2317229.291768
1583884800.0,0.03016,0.03261,0.02785,0.03082,60921106.2,1858991.660908
1583971200.0,0.03083,0.03164,0.02531,0.027,37175935.8,1057868.580667
1584057600.0,0.0271,0.02725,0.0104,0.012,132578818.5,2393924.260266
1584144000.0,0.012,0.01753,0.0085,0.0159,85135299.9,1185783.471989
1584230400.0,0.016,0.017,0.0133,0.01415,45300375.4,669526.355921
1584316800.0,0.01419,0.01524,0.01298,0.01363,51516656.7,729624.484751
1584403200.0,0.01363,0.0137,0.0096,0.01127,57012081.8,645605.149953
1584489600.0,0.01126,0.01432,0.01107,0.01237,37230483.7,481472.479496
1584576000.0,0.0123,0.013,0.01111,0.01221,19953606.6,238650.485425
1584662400.0,0.01226,0.01522,0.01196,0.01427,56096785.7,779871.107299
1584748800.0,0.01427,0.01918,0.01346,0.01501,66921132.7,1052701.829442
1584835200.0,0.01507,0.01563,0.01325,0.01436,31345848.4,448963.195561
1584921600.0,0.01432,0.01573,0.0118,0.01206,32217227.4,438175.022951
1585008000.0,0.01209,0.01383,0.0116,0.01371,22444609.7,290697.33758
1585094400.0,0.01373,0.01438,0.01316,0.01372,12835044.6,176137.915422
1585180800.0,0.01382,0.0175,0.01316,0.01615,65867000.9,1026540.573787
1585267200.0,0.0162,0.01773,0.0151,0.01579,44131571.9,716352.204171
1585353600.0,0.01579,0.01699,0.014,0.01437,21791590.9,344188.441588
1585440000.0,0.01438,0.01457,0.01326,0.0144,27427558.7,382889.499834
1585526400.0,0.01443,0.01691,0.01416,0.01576,64348318.7,1003212.11627
1585612800.0,0.01572,0.01908,0.01572,0.01655,93797976.2,1647409.222566
1585699200.0,0.01655,0.018,0.01638,0.01667,26496192.2,445023.486622
1585785600.0,0.01672,0.01775,0.0158,0.01754,27189259.5,446336.599561
1585872000.0,0.01754,0.021,0.01715,0.0193,57512904.5,1097015.474314
