close,high,low,open,volume
125.43,128.0,125.21,127.82,79388743.0
127.31,127.72,125.1,125.23,73359943.0
124.69,124.92,122.88,123.16,86428018.0
124.85,126.99,124.78,126.56,60196256.0
126.27,126.92,125.17,126.82,68472910.0
127.45,127.89,125.85,126.25,78672853.0
124.97,126.15,124.26,124.58,102915365.0
122.77,124.64,122.25,123.4,107049248.0
125.91,126.27,122.77,123.5,125168662.0
126.85,129.54,126.81,129.41,88181607.0
130.21,131.26,129.48,130.85,75344258.0
129.74,129.75,127.13,127.89,75900714.0
128.1,130.45,127.97,129.2,81561974.0
127.85,131.49,126.7,131.19,132956425.0
132.54,134.07,131.83,132.04,72471550.0
131.46,133.56,131.07,131.78,106404233.0
133.48,137.07,132.45,136.47,149891988.0
133.58,135.02,133.08,134.31,86722742.0
134.39,135.41,134.11,135.01,64303350.0
134.72,135.06,133.56,134.83,63608239.0
134.32,135.12,132.16,132.16,78935695.0
131.94,134.15,131.41,133.04,81146350.0
133.5,133.75,131.3,132.36,67624221.0
133.11,135.53,131.81,135.02,95598989.0
134.84,135.47,133.34,133.51,94820121.0
134.16,134.67,133.28,134.3,85446163.0
134.5,135.0,133.64,133.82,89752895.0
132.029999,135.0,131.660004,134.940002,87222800.0
134.429993,134.660004,131.929993,132.440002,91266500.0
131.240005,132.850006,130.630005,132.520004,91420000.0
133.0,133.039993,129.470001,129.800003,106686700.0
130.360001,130.389999,128.520004,128.949997,88844600.0
127.900002,127.919998,125.139999,125.830002,83466700.0
126.209999,127.129997,125.650002,126.5,80171300.0
125.900002,126.160004,123.07,123.870003,88651200.0
123.0,124.18,122.489998,123.660004,75089100.0
122.150002,123.519997,121.150002,121.650002,118323800.0
119.900002,120.400002,118.860001,120.110001,85671900.0
121.389999,122.580002,120.730003,121.650002,80819200.0
121.209999,121.480003,118.919998,120.349998,94071200.0
120.589996,121.660004,119.0,119.540001,98844700.0
120.089996,122.900002,120.07,122.82,88530500.0
122.540001,124.239998,122.139999,123.330002,95467100.0
123.389999,123.870003,120.260002,120.330002,111912300.0
119.989998,121.43,119.68,119.900002,185549500.0
120.529999,123.18,120.32,122.879997,121469800.0
124.760002,125.860001,122.339996,124.050003,111932600.0
125.57,127.220001,124.720001,125.699997,115227900.0
123.989998,124.0,120.419998,121.410004,92403800.0
121.029999,121.169998,119.160004,120.400002,88105100.0
121.959999,123.209999,121.260002,122.540001,103026500.0
119.980003,122.169998,119.449997,121.690002,111943300.0
121.089996,122.059998,118.790001,119.029999,129525800.0
116.360001,121.0,116.209999,120.93,154376600.0
121.419998,121.940002,117.57,120.980003,153766600.0
120.129997,123.599998,118.620003,121.75,178155000.0
122.059998,125.709999,121.839996,124.809998,112966300.0
125.120003,128.720001,125.010002,128.410004,102260900.0
127.790001,127.93,122.790001,123.75,116307900.0
121.260002,124.849998,121.199997,122.589996,164320000.0
120.989998,126.459999,120.540001,124.68,148199500.0
125.349998,125.559998,122.230003,124.940002,111039900.0
125.860001,126.709999,118.389999,123.760002,158273000.0
126.0,129.720001,125.599998,128.009995,103916400.0
129.869995,130.710007,128.800003,130.240005,87668800.0
129.710007,130.0,127.410004,129.199997,96856700.0
130.839996,132.220001,129.470001,131.25,97918500.0
133.190002,136.009995,132.789993,135.490005,80576300.0
135.369995,135.529999,133.690002,134.350006,60029300.0
135.130005,136.389999,133.770004,135.899994,64154400.0
135.389999,136.990005,134.399994,136.479996,73046600.0
136.009995,137.880005,135.850006,136.619995,76774200.0
136.910004,136.960007,134.919998,136.029999,71297200.0
136.759995,137.419998,135.860001,137.350006,75524000.0
137.389999,137.399994,134.589996,136.300003,84183100.0
133.940002,135.770004,133.610001,135.759995,89880900.0
134.990005,136.309998,134.610001,135.729996,83305400.0
134.139999,135.380005,130.929993,133.75,106239800.0
131.960007,136.740005,130.210007,135.830002,177180600.0
137.089996,141.990005,136.699997,139.520004,142621100.0
142.059998,144.300003,140.410004,143.429993,140843800.0
143.160004,144.300003,141.369995,143.600006,98390600.0
142.919998,145.089996,136.539993,143.070007,157611700.0
139.070007,139.850006,135.020004,136.279999,113907200.0
136.869995,139.669998,133.589996,133.800003,120529500.0
132.029999,132.490005,128.550003,128.660004,104319500.0
127.830002,128.710007,126.940002,127.779999,90757300.0
127.139999,130.220001,127.0,128.779999,111598500.0
128.910004,131.0,128.759995,130.800003,90221800.0
130.889999,131.449997,128.490005,128.759995,88636800.0
128.800003,129.690002,126.860001,128.5,91951100.0
128.979996,130.169998,128.5,129.190002,100620900.0
132.050003,132.630005,130.229996,132.429993,105158200.0
130.919998,131.630005,127.860001,128.360001,109578200.0
126.599998,131.050003,126.379997,127.720001,155088000.0
