Datetime,sentiment
2019-02-12,0.2263
2019-02-13,0.0
2019-02-14,0.0
2019-02-18,0.296
2019-02-19,0.3612
2019-02-20,0.0
2019-02-21,0.2263
2019-02-23,0.5574
2019-02-24,0.0
2019-02-25,0.0
2019-02-26,0.6249
2019-02-27,0.0
2019-02-28,0.0
2019-03-01,0.0
2019-03-02,0.0
2019-03-03,0.0
2019-03-04,0.0
2019-03-05,0.0
2019-03-06,0.1909
2019-03-07,-0.23629999999999998
2019-03-08,0.0028499999999999914
2019-03-09,0.07543333333333334
2019-03-11,0.2951636363636364
2019-03-12,0.14815454545454546
2019-03-13,0.012319999999999998
2019-03-14,0.10803888888888889
2019-03-15,0.26335624999999996
2019-03-18,0.22906000000000004
2019-03-19,0.06015714285714286
2019-03-20,0.12697499999999998
2019-03-21,0.2679722222222222
2019-03-22,0.15161333333333332
2019-03-23,0.32536666666666664
2019-03-24,0.0
2019-03-25,0.15416282051282054
2019-03-26,0.165248275862069
2019-03-27,0.18371111111111113
2019-03-28,0.2590272727272728
2019-03-29,0.15302857142857143
2019-03-30,0.3459999999999999
2019-03-31,0.2202
2019-04-01,0.10067894736842108
2019-04-02,0.13742222222222222
2019-04-03,0.2240588235294118
2019-04-04,0.11737222222222221
2019-04-05,0.23653
2019-04-06,-0.28459999999999996
2019-04-07,0.39913333333333334
2019-04-08,0.22616250000000004
2019-04-09,0.3195736842105264
2019-04-10,0.2505
2019-04-11,0.08865833333333334
2019-04-12,0.23641428571428572
2019-04-13,-0.4019
2019-04-14,0.0
2019-04-15,0.01019230769230768
2019-04-16,-0.002377777777777781
2019-04-17,0.10082307692307692
2019-04-18,0.10662857142857142
2019-04-19,0.7906
2019-04-20,-0.2023
2019-04-21,0.0
2019-04-22,0.14124444444444442
2019-04-23,-0.020666666666666667
2019-04-24,0.19504000000000002
2019-04-25,0.14271250000000002
2019-04-26,0.26455
2019-04-27,-0.05135
2019-04-28,0.173675
2019-04-29,0.08629090909090911
2019-04-30,0.07646060606060605
2019-05-01,0.15043809523809526
2019-05-02,0.028242857142857142
2019-05-03,0.06907142857142856
2019-05-04,0.0
2019-05-05,0.0
2019-05-06,0.11979444444444444
2019-05-07,0.16913
2019-05-08,-0.1027
2019-05-09,0.38735714285714284
2019-05-10,-0.01963333333333333
2019-05-11,-0.007599999999999996
2019-05-12,-0.10015
2019-05-13,0.04517037037037038
2019-05-14,0.025923809523809523
2019-05-15,-0.1301125
2019-05-16,0.11027777777777778
2019-05-17,0.10223000000000004
2019-05-18,0.6249
2019-05-19,0.76725
2019-05-20,-0.23372857142857142
2019-05-21,0.07648461538461539
2019-05-22,-0.00122499999999999
2019-05-23,-0.08897500000000003
2019-05-24,0.012878571428571442
2019-05-25,0.09979999999999999
2019-05-26,0.053275
2019-05-27,0.12356666666666667
2019-05-28,-0.03241428571428574
2019-05-29,0.13939999999999997
2019-05-30,-0.13729473684210527
2019-05-31,-0.05290000000000002
2019-06-01,0.3091
2019-06-02,0.4137333333333333
2019-06-03,0.09564605263157895
2019-06-04,0.05586285714285715
2019-06-05,0.017921875000000007
2019-06-06,0.031345000000000005
2019-06-07,0.16975294117647063
2019-06-08,0.09106666666666667
2019-06-09,0.2263
2019-06-10,0.30012307692307694
2019-06-11,0.2201764705882353
2019-06-12,0.14109
2019-06-13,0.004968421052631575
2019-06-14,-0.06636923076923078
2019-06-15,-0.24695
2019-06-16,0.38915
2019-06-17,0.1786277777777778
2019-06-18,0.017642857142857148
2019-06-19,0.12507391304347826
2019-06-20,-0.021808000000000004
2019-06-21,-0.043250000000000004
2019-06-22,0.12753333333333333
2019-06-23,-0.2732
2019-06-24,0.07241428571428572
2019-06-25,0.24082500000000004
2019-06-26,0.20543999999999998
2019-06-27,0.06111428571428572
2019-06-28,0.07896666666666667
2019-06-29,0.21047999999999994
2019-06-30,0.5357666666666666
2019-07-01,0.15392727272727272
2019-07-02,0.1366888888888889
2019-07-03,0.07183333333333335
2019-07-04,0.0
2019-07-05,0.0026888888888889012
2019-07-06,-0.20473333333333332
2019-07-07,0.0
2019-07-08,0.028918181818181815
2019-07-09,0.13611153846153848
2019-07-10,0.2729272727272727
2019-07-11,0.16110625
2019-07-12,-0.06775714285714286
2019-07-13,-0.019250000000000017
2019-07-14,0.0
2019-07-15,-0.06434
2019-07-16,0.20364999999999997
2019-07-17,-0.010388888888888892
2019-07-18,0.34425
2019-07-19,-0.0897
2019-07-21,0.3818
2019-07-22,0.13343043478260866
2019-07-23,0.19613333333333338
2019-07-24,0.13001666666666664
2019-07-25,0.1918210526315789
2019-07-26,0.11377083333333336
2019-07-27,0.0
2019-07-28,-0.12726666666666667
2019-07-29,0.014259090909090909
2019-07-30,0.16787049180327865
2019-07-31,0.18037608695652174
2019-08-01,-0.08390625
2019-08-02,0.060868750000000006
2019-08-03,0.39598000000000005
2019-08-04,0.3071
2019-08-05,-0.11675
2019-08-06,0.23164705882352943
2019-08-07,0.39205
2019-08-08,-0.08143333333333333
2019-08-09,0.3319875
2019-08-10,0.27115
2019-08-11,0.0
2019-08-12,0.08215555555555555
2019-08-13,0.12455652173913043
2019-08-14,-0.13755454545454543
2019-08-15,0.15816666666666668
2019-08-16,0.08024285714285714
2019-08-17,0.43910000000000005
2019-08-18,-0.27923333333333333
2019-08-19,0.16023529411764703
2019-08-20,0.05272647058823529
2019-08-21,0.22157916666666666
2019-08-22,0.09403125000000001
2019-08-23,-0.04093000000000001
2019-08-25,0.0
2019-08-26,0.13846875000000003
2019-08-27,0.06402222222222222
2019-08-28,0.07785238095238094
